,mean,mean,mean,mean,count,count,count,count
,random_r,random_r1,sr1o,sro,random_r,random_r1,sr1o,sro
0,,,,,,,,
0,8.210322,1.0293670000000001,10.125789999999999,9.122580000000001,10,10,10,10
1,8.225187,0.9811839999999998,9.7967,9.09477,10,10,10,10
2,8.240124999999999,0.9479940000000001,9.54091,9.058139999999998,10,10,10,10
3,8.255104000000003,0.9214389999999998,9.315290000000001,9.02466,10,10,10,10
4,8.270122,0.8988539999999998,9.10365,8.99365,10,10,10,10
5,8.285166,0.878999,8.90052,8.965720000000001,10,10,10,10
6,8.300239000000001,0.861173,8.70365,8.94173,10,10,10,10
7,8.315322,0.844937,8.51199,8.922379999999999,10,10,10,10
8,8.330420999999998,0.8299839999999999,8.32493,8.907779999999999,10,10,10,10
9,8.345536,0.8160909999999999,8.142050000000001,8.897540000000001,10,10,10,10
10,8.360672,0.8031,7.96308,8.89109,10,10,10,10
11,8.375808,0.7908850000000001,7.787699999999999,8.887719999999998,10,10,10,10
12,8.390955,0.7793349999999999,7.615589999999999,8.886759999999999,10,10,10,10
13,8.406111,0.768378,7.446430000000001,8.88759,10,10,10,10
14,8.421275,0.7579520000000001,7.28004,8.88977,10,10,10,10
15,8.436449,0.748003,7.11631,8.89305,10,10,10,10
16,8.451633999999999,0.738473,6.95514,8.897250000000001,10,10,10,10
17,8.466814999999999,0.729333,6.796569999999998,8.9023,10,10,10,10
18,8.482007,0.7205550000000001,6.64067,8.90814,10,10,10,10
19,8.497201,0.7121059999999999,6.487530000000001,8.914729999999999,10,10,10,10
20,8.512409000000002,0.7039580000000001,6.33726,8.92208,10,10,10,10
21,8.527611,0.6960890000000001,6.19005,8.93016,10,10,10,10
22,8.542817000000001,0.68848,6.04603,8.93899,10,10,10,10
23,8.558036000000001,0.681115,5.9053700000000005,8.94859,10,10,10,10
24,8.57324,0.673972,5.76826,8.958960000000001,10,10,10,10
25,8.588460000000001,0.6670529999999999,5.63482,8.970099999999999,10,10,10,10
26,8.603677999999999,0.6603359999999999,5.505170000000001,8.982059999999999,10,10,10,10
27,8.618888,0.653797,5.37944,8.99478,10,10,10,10
28,8.63411,0.647441,5.25765,9.008289999999999,10,10,10,10
29,8.649322999999999,0.641259,5.13984,9.02258,10,10,10,10
30,8.664541000000002,0.635235,5.02607,9.03763,10,10,10,10
31,8.679747,0.6293620000000001,4.9162300000000005,9.0534,10,10,10,10
32,8.694956999999999,0.6236360000000001,4.81032,9.069840000000001,10,10,10,10
33,8.710170999999999,0.618044,4.70826,9.08698,10,10,10,10
34,8.725372,0.612592,4.60996,9.10472,10,10,10,10
35,8.740568000000001,0.607263,4.5153099999999995,9.12302,10,10,10,10
36,8.755762999999998,0.6020460000000001,4.42416,9.14191,10,10,10,10
37,8.770954999999999,0.596951,4.336429999999999,9.161280000000001,10,10,10,10
38,8.786147,0.5919719999999999,4.25197,9.18112,10,10,10,10
39,8.801317000000001,0.5870909999999999,4.17061,9.20141,10,10,10,10
40,8.816492,0.5823149999999999,4.09225,9.222069999999999,10,10,10,10
41,8.831658000000001,0.577634,4.01675,9.243120000000001,10,10,10,10
42,8.846824000000002,0.573048,3.9440000000000004,9.2645,10,10,10,10
43,8.861972999999999,0.568546,3.8738599999999996,9.28619,10,10,10,10
44,8.877113,0.564142,3.8061700000000003,9.30815,10,10,10,10
45,8.892252,0.5598110000000001,3.7408800000000006,9.33037,10,10,10,10
46,8.907371000000001,0.555557,3.67783,9.352810000000002,10,10,10,10
47,8.922488999999999,0.5513889999999999,3.6169500000000006,9.37547,10,10,10,10
48,8.9376,0.547292,3.55809,9.39834,10,10,10,10
49,8.952694000000001,0.5432619999999999,3.5012300000000005,9.421360000000002,10,10,10,10
50,8.96778,0.5393089999999999,3.4461900000000005,9.444540000000002,10,10,10,10
51,8.982859999999999,0.5354169999999999,3.39292,9.46785,10,10,10,10
52,8.997928,0.531596,3.34138,9.491270000000002,10,10,10,10
53,9.012972999999999,0.527833,3.29141,9.5148,10,10,10,10
54,9.028018000000001,0.5241330000000001,3.2429900000000003,9.53843,10,10,10,10
55,9.043046999999998,0.5204980000000001,3.19601,9.56214,10,10,10,10
56,9.058056,0.5169140000000001,3.1504,9.585919999999998,10,10,10,10
57,9.07306,0.513385,3.1061,9.609729999999999,10,10,10,10
58,9.088049,0.5099069999999999,3.0630499999999996,9.63358,10,10,10,10
59,9.103020999999998,0.5064900000000001,3.0211599999999996,9.65748,10,10,10,10
60,9.117976,0.503125,2.9803599999999997,9.6814,10,10,10,10
61,9.132924,0.4998030000000001,2.9406300000000005,9.70532,10,10,10,10
62,9.147853999999999,0.49653800000000003,2.90184,9.72926,10,10,10,10
63,9.162764000000001,0.49331700000000006,2.8639799999999997,9.75319,10,10,10,10
64,9.177653,0.490147,2.8269900000000003,9.77712,10,10,10,10
65,9.192539999999997,0.4870140000000001,2.79077,9.80103,10,10,10,10
66,9.207397,0.483939,2.75531,9.82492,10,10,10,10
67,9.222240999999999,0.480897,2.7205199999999996,9.848780000000001,10,10,10,10
68,9.237075,0.47789500000000007,2.6863599999999996,9.87262,10,10,10,10
69,9.251885999999999,0.47493799999999997,2.65277,9.89644,10,10,10,10
70,9.266682,0.472017,2.61971,9.920209999999999,10,10,10,10
71,9.281464,0.469142,2.58711,9.943940000000001,10,10,10,10
72,9.296229,0.466307,2.5549399999999998,9.967659999999999,10,10,10,10
73,9.310970999999999,0.46350100000000005,2.52316,9.99133,10,10,10,10
74,9.325703999999998,0.46074000000000004,2.4917299999999996,10.014959999999999,10,10,10,10
75,9.340415000000002,0.45801100000000006,2.4606,10.038559999999999,10,10,10,10
76,9.355106,0.4553109999999999,2.42971,10.06214,10,10,10,10
77,9.369790999999998,0.45265500000000003,2.3991100000000003,10.08568,10,10,10,10
78,9.38445,0.450035,2.3686999999999996,10.109199999999998,10,10,10,10
79,9.399104,0.44743400000000005,2.3385100000000003,10.13269,10,10,10,10
80,9.413739000000001,0.44486800000000004,2.3084700000000007,10.156159999999998,10,10,10,10
81,9.428349999999998,0.442343,2.2786399999999998,10.17961,10,10,10,10
82,9.44295,0.4398439999999999,2.24897,10.203040000000001,10,10,10,10
83,9.457545,0.437371,2.21949,10.226460000000001,10,10,10,10
84,9.472109999999997,0.434936,2.1902,10.249860000000002,10,10,10,10
85,9.486664000000001,0.43252300000000005,2.1611200000000004,10.273259999999999,10,10,10,10
86,9.501205,0.430145,2.1322599999999996,10.296650000000001,10,10,10,10
87,9.515732000000002,0.4277849999999999,2.10365,10.320040000000002,10,10,10,10
88,9.530242,0.42545700000000003,2.0753399999999997,10.343390000000003,10,10,10,10
89,9.544742,0.423167,2.04733,10.366760000000001,10,10,10,10
90,9.559222,0.420889,2.01968,10.39012,10,10,10,10
91,9.573694000000001,0.418646,1.99243,10.413440000000001,10,10,10,10
92,9.588151,0.41642100000000004,1.96559,10.436749999999998,10,10,10,10
93,9.602598000000002,0.41422,1.9392200000000002,10.46009,10,10,10,10
94,9.617032000000002,0.41205299999999995,1.91332,10.48335,10,10,10,10
95,9.631452,0.409905,1.88795,10.506620000000002,10,10,10,10
96,9.645863,0.407778,1.8631199999999999,10.52987,10,10,10,10
97,9.660264999999999,0.405678,1.8388599999999997,10.553079999999998,10,10,10,10
98,9.674665000000001,0.403601,1.8151800000000002,10.57626,10,10,10,10
99,9.689052,0.40154100000000004,1.7921200000000002,10.599359999999999,10,10,10,10
